Tarih,Saat,PTF (TL/MWh),PTF (USD/MWh),PTF (EUR/MWh)
24/01/2021,22:00,"310,54","41,97","34,49"
24/01/2021,23:00,"262,01","35,41","29,10"
25/01/2021,00:00,"268,55","36,30","29,82"
25/01/2021,01:00,"236,98","32,03","26,32"
25/01/2021,02:00,"210,00","28,38","23,32"
25/01/2021,03:00,"233,97","31,62","25,98"
25/01/2021,04:00,"233,97","31,62","25,98"
25/01/2021,05:00,"236,98","32,03","26,32"
25/01/2021,06:00,"236,98","32,03","26,32"
25/01/2021,07:00,"250,00","33,79","27,76"
25/01/2021,08:00,"313,84","42,42","34,85"
25/01/2021,09:00,"315,90","42,70","35,08"
25/01/2021,10:00,"315,60","42,66","35,05"
25/01/2021,11:00,"314,99","42,57","34,98"
25/01/2021,12:00,"300,01","40,55","33,32"
25/01/2021,13:00,"310,22","41,93","34,45"
25/01/2021,14:00,"312,38","42,22","34,69"
25/01/2021,15:00,"312,63","42,26","34,72"
25/01/2021,16:00,"314,99","42,57","34,98"
25/01/2021,17:00,"317,98","42,98","35,31"
25/01/2021,18:00,"319,43","43,17","35,47"
25/01/2021,19:00,"316,06","42,72","35,10"
25/01/2021,20:00,"314,98","42,57","34,98"
25/01/2021,21:00,"311,75","42,14","34,62"
25/01/2021,22:00,"298,56","40,35","33,16"
25/01/2021,23:00,"268,54","36,30","29,82"
26/01/2021,00:00,"309,00","41,77","34,32"
26/01/2021,01:00,"249,57","33,73","27,72"
26/01/2021,02:00,"268,54","36,30","29,82"
26/01/2021,03:00,"236,98","32,03","26,32"
26/01/2021,04:00,"236,98","32,03","26,32"
26/01/2021,05:00,"236,99","32,03","26,32"
26/01/2021,06:00,"250,01","33,79","27,77"
26/01/2021,07:00,"275,02","37,17","30,54"
26/01/2021,08:00,"311,60","42,12","34,61"
26/01/2021,09:00,"320,18","43,28","35,56"
26/01/2021,10:00,"317,77","42,95","35,29"
26/01/2021,11:00,"316,33","42,76","35,13"
26/01/2021,12:00,"311,50","42,10","34,59"
26/01/2021,13:00,"312,29","42,21","34,68"
26/01/2021,14:00,"314,83","42,55","34,96"
26/01/2021,15:00,"315,44","42,64","35,03"
26/01/2021,16:00,"317,36","42,90","35,24"
26/01/2021,17:00,"319,82","43,23","35,52"
26/01/2021,18:00,"320,33","43,30","35,57"
26/01/2021,19:00,"315,97","42,71","35,09"
26/01/2021,20:00,"313,34","42,35","34,80"
26/01/2021,21:00,"310,29","41,94","34,46"
26/01/2021,22:00,"299,98","40,55","33,31"
26/01/2021,23:00,"265,01","35,82","29,43"
27/01/2021,00:00,"309,00","41,87","34,42"
27/01/2021,01:00,"259,32","35,14","28,88"
27/01/2021,02:00,"233,99","31,71","26,06"
27/01/2021,03:00,"233,60","31,65","26,02"
27/01/2021,04:00,"233,60","31,65","26,02"
27/01/2021,05:00,"233,61","31,66","26,02"
27/01/2021,06:00,"233,99","31,71","26,06"
27/01/2021,07:00,"233,99","31,71","26,06"
27/01/2021,08:00,"311,50","42,21","34,70"
27/01/2021,09:00,"318,49","43,16","35,48"
27/01/2021,10:00,"320,00","43,36","35,64"
27/01/2021,11:00,"323,41","43,82","36,02"
27/01/2021,12:00,"319,16","43,25","35,55"
27/01/2021,13:00,"322,22","43,66","35,89"
27/01/2021,14:00,"324,68","44,00","36,16"
27/01/2021,15:00,"324,58","43,98","36,15"
27/01/2021,16:00,"324,33","43,95","36,13"
27/01/2021,17:00,"326,69","44,27","36,39"
27/01/2021,18:00,"326,66","44,26","36,39"
27/01/2021,19:00,"321,94","43,63","35,86"
27/01/2021,20:00,"318,42","43,15","35,47"
27/01/2021,21:00,"316,69","42,91","35,27"
27/01/2021,22:00,"314,67","42,64","35,05"
27/01/2021,23:00,"312,22","42,31","34,78"
28/01/2021,00:00,"309,00","41,85","34,51"
28/01/2021,01:00,"311,71","42,22","34,81"
28/01/2021,02:00,"310,47","42,05","34,67"
28/01/2021,03:00,"290,66","39,37","32,46"
28/01/2021,04:00,"299,99","40,63","33,50"
28/01/2021,05:00,"310,00","41,99","34,62"
28/01/2021,06:00,"312,73","42,36","34,92"
28/01/2021,07:00,"316,65","42,89","35,36"
28/01/2021,08:00,"327,07","44,30","36,52"
28/01/2021,09:00,"334,37","45,29","37,34"
28/01/2021,10:00,"334,18","45,26","37,32"
28/01/2021,11:00,"335,60","45,45","37,48"
28/01/2021,12:00,"330,65","44,78","36,92"
28/01/2021,13:00,"331,50","44,90","37,02"
28/01/2021,14:00,"333,45","45,16","37,24"
28/01/2021,15:00,"334,22","45,27","37,32"
28/01/2021,16:00,"335,09","45,38","37,42"
28/01/2021,17:00,"338,07","45,79","37,75"
28/01/2021,18:00,"339,18","45,94","37,88"
28/01/2021,19:00,"334,05","45,24","37,30"
28/01/2021,20:00,"329,39","44,61","36,78"
28/01/2021,21:00,"325,43","44,08","36,34"
28/01/2021,22:00,"322,20","43,64","35,98"
28/01/2021,23:00,"317,95","43,06","35,51"
29/01/2021,00:00,"318,79","43,35","35,71"
29/01/2021,01:00,"317,26","43,14","35,54"
29/01/2021,02:00,"313,61","42,64","35,13"
29/01/2021,03:00,"310,31","42,19","34,76"
29/01/2021,04:00,"290,00","39,43","32,48"
29/01/2021,05:00,"290,00","39,43","32,48"
29/01/2021,06:00,"299,99","40,79","33,60"
29/01/2021,07:00,"311,30","42,33","34,87"
29/01/2021,08:00,"317,96","43,23","35,62"
29/01/2021,09:00,"320,00","43,51","35,84"
29/01/2021,10:00,"319,62","43,46","35,80"
29/01/2021,11:00,"319,61","43,46","35,80"
29/01/2021,12:00,"312,53","42,50","35,01"
29/01/2021,13:00,"309,99","42,15","34,72"
29/01/2021,14:00,"313,57","42,64","35,12"
29/01/2021,15:00,"313,02","42,56","35,06"
29/01/2021,16:00,"314,63","42,78","35,24"
29/01/2021,17:00,"316,13","42,99","35,41"
29/01/2021,18:00,"316,73","43,07","35,48"
29/01/2021,19:00,"312,56","42,50","35,01"
29/01/2021,20:00,"308,32","41,92","34,54"
29/01/2021,21:00,"310,00","42,15","34,72"
29/01/2021,22:00,"294,02","39,98","32,93"
29/01/2021,23:00,"274,10","37,27","30,70"
30/01/2021,00:00,"309,00","41,91","34,64"
30/01/2021,01:00,"271,02","36,76","30,38"
30/01/2021,02:00,"250,00","33,91","28,02"
30/01/2021,03:00,"236,99","32,15","26,56"
30/01/2021,04:00,"243,00","32,96","27,24"
30/01/2021,05:00,"236,99","32,15","26,56"
30/01/2021,06:00,"236,98","32,14","26,56"
30/01/2021,07:00,"233,45","31,67","26,17"
30/01/2021,08:00,"259,33","35,18","29,07"
30/01/2021,09:00,"260,00","35,27","29,14"
30/01/2021,10:00,"268,37","36,40","30,08"
30/01/2021,11:00,"300,00","40,69","33,63"
30/01/2021,12:00,"287,01","38,93","32,17"
30/01/2021,13:00,"310,87","42,17","34,84"
30/01/2021,14:00,"311,92","42,31","34,96"
30/01/2021,15:00,"313,42","42,51","35,13"
30/01/2021,16:00,"313,74","42,56","35,17"
30/01/2021,17:00,"316,56","42,94","35,48"
30/01/2021,18:00,"322,11","43,69","36,10"
30/01/2021,19:00,"321,42","43,60","36,03"
30/01/2021,20:00,"319,18","43,29","35,78"
30/01/2021,21:00,"316,95","42,99","35,53"
30/01/2021,22:00,"314,99","42,73","35,31"
30/01/2021,23:00,"312,67","42,41","35,05"
31/01/2021,00:00,"311,00","42,48","35,05"
31/01/2021,01:00,"311,39","42,53","35,10"
31/01/2021,02:00,"270,00","36,88","30,43"
31/01/2021,03:00,"259,33","35,42","29,23"
31/01/2021,04:00,"250,00","34,15","28,18"
31/01/2021,05:00,"250,01","34,15","28,18"
31/01/2021,06:00,"250,00","34,15","28,18"
31/01/2021,07:00,"259,32","35,42","29,23"
31/01/2021,08:00,"232,98","31,82","26,26"
31/01/2021,09:00,"232,98","31,82","26,26"
31/01/2021,10:00,"249,00","34,01","28,07"
31/01/2021,11:00,"268,37","36,65","30,25"
31/01/2021,12:00,"268,37","36,65","30,25"
31/01/2021,13:00,"269,99","36,88","30,43"
31/01/2021,14:00,"269,99","36,88","30,43"
31/01/2021,15:00,"269,99","36,88","30,43"
31/01/2021,16:00,"268,90","36,73","30,31"
31/01/2021,17:00,"299,11","40,85","33,71"
31/01/2021,18:00,"313,82","42,86","35,37"
31/01/2021,19:00,"312,16","42,64","35,19"
31/01/2021,20:00,"310,25","42,37","34,97"
31/01/2021,21:00,"269,99","36,88","30,43"
31/01/2021,22:00,"245,99","33,60","27,73"
31/01/2021,23:00,"232,99","31,82","26,26"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
